 time            v(d_p)          v(d_n)          v(x1.gclk_b)   
 0.00000000e+00  1.19999995e+00  1.19999995e+00  1.04297727e-07 
 2.00000000e-14  1.19999995e+00  1.19999995e+00  1.08911251e-07 
 4.00000000e-14  1.19999995e+00  1.19999995e+00  1.16480603e-07 
 8.00000000e-14  1.19999995e+00  1.19999995e+00  1.34787214e-07 
 1.60000000e-13  1.19999995e+00  1.19999995e+00  1.81731506e-07 
 3.20000000e-13  1.19999995e+00  1.19999995e+00  2.90377292e-07 
 6.40000000e-13  1.19999995e+00  1.19999995e+00  4.93471229e-07 
 1.28000000e-12  1.19999995e+00  1.19999995e+00  7.38773421e-07 
 2.56000000e-12  1.19999995e+00  1.19999995e+00  7.65541172e-07 
 4.56000000e-12  1.19999995e+00  1.19999995e+00  3.09114245e-07 
 6.56000000e-12  1.19999995e+00  1.19999995e+00 -1.55500554e-07 
 8.56000000e-12  1.19999995e+00  1.19999995e+00 -3.79182242e-07 
 1.05600000e-11  1.19999995e+00  1.19999995e+00 -3.94757269e-07 
 1.25600000e-11  1.19999995e+00  1.19999995e+00 -3.03536914e-07 
 1.45600000e-11  1.19999995e+00  1.19999995e+00 -1.95216102e-07 
 1.65600000e-11  1.19999995e+00  1.19999995e+00 -1.22382763e-07 
 1.85600000e-11  1.19999995e+00  1.19999995e+00 -9.14111317e-08 
 2.05600000e-11  1.19999995e+00  1.19999995e+00 -8.43918944e-08 
 2.25600000e-11  1.19999995e+00  1.19999995e+00 -8.59980491e-08 
 2.45600000e-11  1.19999995e+00  1.19999995e+00 -4.89430840e-08 
 2.65600000e-11  1.19999995e+00  1.19999995e+00  7.27652320e-08 
 2.82800000e-11  1.19999995e+00  1.19999995e+00  1.96210671e-07 
 3.00000000e-11  1.19999995e+00  1.19999995e+00  2.93610547e-07 
 3.02000000e-11  1.19999995e+00  1.19999995e+00  2.19288689e-07 
 3.06000000e-11  1.19999995e+00  1.19999995e+00  5.38231391e-08 
 3.14000000e-11  1.19999995e+00  1.19999995e+00 -9.81761653e-08 
 3.30000000e-11  1.19999995e+00  1.19999995e+00  2.23661123e-07 
 3.50000000e-11  1.19999995e+00  1.19999995e+00  7.67021347e-07 
 3.70000000e-11  1.19999995e+00  1.19999995e+00  9.88365036e-07 
 3.90000000e-11  1.19999995e+00  1.19999995e+00  9.03193734e-07 
 4.10000000e-11  1.19999995e+00  1.19999995e+00  6.71268068e-07 
 4.30000000e-11  1.19999995e+00  1.19999995e+00  4.07213504e-07 
 4.50000000e-11  1.19999995e+00  1.19999995e+00  1.77057464e-07 
 4.70000000e-11  1.19999995e+00  1.19999995e+00  3.34626391e-09 
 4.90000000e-11  1.19999995e+00  1.19999995e+00 -1.10935007e-07 
 5.10000000e-11  1.19999995e+00  1.19999995e+00 -1.73832579e-07 
 5.30000000e-11  1.19999995e+00  1.19999995e+00 -1.93704304e-07 
 5.50000000e-11  1.19999995e+00  1.19999995e+00 -1.75271379e-07 
 5.70000000e-11  1.19999995e+00  1.19999995e+00 -1.17972639e-07 
 5.90000000e-11  1.19999995e+00  1.19999995e+00 -2.10408878e-08 
 6.10000000e-11  1.19999995e+00  1.19999995e+00  1.10287121e-07 
 6.30000000e-11  1.19999995e+00  1.19999995e+00  2.64389331e-07 
 6.50000000e-11  1.19999995e+00  1.19999995e+00  4.28086548e-07 
 6.70000000e-11  1.19999995e+00  1.19999995e+00  5.91330442e-07 
 6.90000000e-11  1.19999995e+00  1.19999995e+00  7.49225223e-07 
 7.10000000e-11  1.19999995e+00  1.19999995e+00  9.01053482e-07 
 7.30000000e-11  1.19999995e+00  1.19999995e+00  1.04869556e-06 
 7.50000000e-11  1.19999995e+00  1.19999995e+00  1.19398466e-06 
 7.70000000e-11  1.19999995e+00  1.19999995e+00  1.33741487e-06 
 7.90000000e-11  1.19999995e+00  1.19999995e+00  1.47567325e-06 
 8.10000000e-11  1.19999995e+00  1.19999995e+00  1.59786960e-06 
 8.30000000e-11  1.19999995e+00  1.19999995e+00  1.67280785e-06 
 8.50000000e-11  1.19999995e+00  1.19999995e+00  1.64611152e-06 
 8.70000000e-11  1.19999995e+00  1.19999995e+00  1.48343470e-06 
 8.90000000e-11  1.19999995e+00  1.19999995e+00  1.20463430e-06 
 9.10000000e-11  1.19999995e+00  1.19999995e+00  8.56949699e-07 
 9.30000000e-11  1.19999995e+00  1.19999995e+00  4.87024396e-07 
 9.50000000e-11  1.19999995e+00  1.19999995e+00  1.30036558e-07 
 9.70000000e-11  1.19999995e+00  1.19999995e+00 -1.89675458e-07 
 9.90000000e-11  1.19999995e+00  1.19999995e+00 -4.57765889e-07 
 1.01000000e-10  1.19999995e+00  1.19999995e+00 -6.67776914e-07 
 1.03000000e-10  1.19999995e+00  1.19999995e+00 -8.23633533e-07 
 1.05000000e-10  1.19999995e+00  1.19999995e+00 -9.45830598e-07 
 1.07000000e-10  1.19999995e+00  1.19999995e+00 -1.08621835e-06 
 1.09000000e-10  1.19999995e+00  1.19999995e+00 -1.31529960e-06 
 1.11000000e-10  1.19999995e+00  1.19999995e+00 -1.64160769e-06 
 1.13000000e-10  1.19999995e+00  1.19999995e+00 -1.99026262e-06 
 1.15000000e-10  1.19999995e+00  1.19999995e+00 -2.32041303e-06 
 1.17000000e-10  1.19999995e+00  1.19999995e+00 -2.66340251e-06 
 1.19000000e-10  1.19999995e+00  1.19999995e+00 -3.05986356e-06 
 1.21000000e-10  1.19999995e+00  1.19999995e+00 -3.51009883e-06 
 1.23000000e-10  1.19999995e+00  1.19999995e+00 -3.95206928e-06 
 1.25000000e-10  1.19999995e+00  1.19999995e+00 -4.25186040e-06 
 1.27000000e-10  1.19999995e+00  1.19999995e+00 -4.22577576e-06 
 1.29000000e-10  1.19999995e+00  1.19999995e+00 -3.75474059e-06 
 1.31000000e-10  1.19999995e+00  1.19999995e+00 -2.87088867e-06 
 1.33000000e-10  1.19999995e+00  1.19999995e+00 -1.70409217e-06 
 1.35000000e-10  1.19999995e+00  1.19999995e+00 -5.02504123e-07 
 1.37000000e-10  1.19999995e+00  1.19999995e+00  4.67427824e-07 
 1.39000000e-10  1.19999995e+00  1.19999995e+00  1.13749979e-06 
 1.41000000e-10  1.19999995e+00  1.19999995e+00  1.55322355e-06 
 1.43000000e-10  1.19999995e+00  1.19999995e+00  1.77339450e-06 
 1.45000000e-10  1.19999995e+00  1.19999995e+00  1.87817846e-06 
 1.47000000e-10  1.19999995e+00  1.19999995e+00  1.93049477e-06 
 1.49000000e-10  1.19999995e+00  1.19999995e+00  2.03028959e-06 
 1.51000000e-10  1.19999995e+00  1.19999995e+00  2.22601123e-06 
 1.53000000e-10  1.19999995e+00  1.19999995e+00  2.48399640e-06 
 1.55000000e-10  1.19999995e+00  1.19999995e+00  2.75258262e-06 
 1.57000000e-10  1.19999995e+00  1.19999995e+00  2.98528462e-06 
 1.59000000e-10  1.19999995e+00  1.19999995e+00  3.13710098e-06 
 1.61000000e-10  1.19999995e+00  1.19999995e+00  3.15447578e-06 
 1.63000000e-10  1.19999995e+00  1.19999995e+00  2.97466552e-06 
 1.65000000e-10  1.19999995e+00  1.19999995e+00  2.55701406e-06 
 1.67000000e-10  1.19999995e+00  1.19999995e+00  1.93255945e-06 
 1.69000000e-10  1.19999995e+00  1.19999995e+00  1.18811531e-06 
 1.71000000e-10  1.19999995e+00  1.19999995e+00  4.36568473e-07 
 1.73000000e-10  1.19999995e+00  1.19999995e+00 -2.11624350e-07 
 1.75000000e-10  1.19999995e+00  1.19999995e+00 -6.75980785e-07 
 1.77000000e-10  1.19999995e+00  1.19999995e+00 -9.21422963e-07 
 1.79000000e-10  1.19999995e+00  1.19999995e+00 -9.58663937e-07 
 1.81000000e-10  1.19999995e+00  1.19999995e+00 -8.33980238e-07 
 1.83000000e-10  1.19999995e+00  1.19999995e+00 -6.08994501e-07 
 1.85000000e-10  1.19999995e+00  1.19999995e+00 -3.53638952e-07 
 1.87000000e-10  1.19999995e+00  1.19999995e+00 -1.34543933e-07 
 1.89000000e-10  1.19999995e+00  1.19999995e+00  2.60451351e-08 
 1.91000000e-10  1.19999995e+00  1.19999995e+00  1.69095258e-07 
 1.93000000e-10  1.19999995e+00  1.19999995e+00  3.35198432e-07 
 1.95000000e-10  1.19999995e+00  1.19999995e+00  5.19786218e-07 
 1.97000000e-10  1.19999995e+00  1.19999995e+00  6.91793242e-07 
 1.99000000e-10  1.19999995e+00  1.19999995e+00  8.18288762e-07 
 2.01000000e-10  1.19999995e+00  1.19999995e+00  8.76761535e-07 
 2.03000000e-10  1.19999995e+00  1.19999995e+00  8.60134330e-07 
 2.05000000e-10  1.19999995e+00  1.19999995e+00  7.75610601e-07 
 2.07000000e-10  1.19999995e+00  1.19999995e+00  6.41100810e-07 
 2.09000000e-10  1.19999995e+00  1.19999995e+00  4.78416988e-07 
 2.11000000e-10  1.19999995e+00  1.19999995e+00  3.07395833e-07 
 2.13000000e-10  1.19999995e+00  1.19999995e+00  1.44085657e-07 
 2.15000000e-10  1.19999995e+00  1.19999995e+00  9.46129292e-11 
 2.17000000e-10  1.19999995e+00  1.19999995e+00 -1.17516892e-07 
 2.19000000e-10  1.19999995e+00  1.19999995e+00 -2.06183898e-07 
 2.21000000e-10  1.19999995e+00  1.19999995e+00 -2.67406472e-07 
 2.23000000e-10  1.19999995e+00  1.19999995e+00 -3.04497427e-07 
 2.25000000e-10  1.19999995e+00  1.19999995e+00 -3.19910929e-07 
 2.27000000e-10  1.19999995e+00  1.19999995e+00 -3.16466584e-07 
 2.29000000e-10  1.19999995e+00  1.19999995e+00 -2.97952697e-07 
 2.31000000e-10  1.19999995e+00  1.19999995e+00 -2.69057405e-07 
 2.33000000e-10  1.19999995e+00  1.19999995e+00 -2.34295671e-07 
 2.35000000e-10  1.19999995e+00  1.19999995e+00 -1.97501783e-07 
 2.37000000e-10  1.19999995e+00  1.19999995e+00 -1.61512575e-07 
 2.39000000e-10  1.19999995e+00  1.19999995e+00 -1.28148921e-07 
 2.41000000e-10  1.19999995e+00  1.19999995e+00 -9.81986989e-08 
 2.43000000e-10  1.19999995e+00  1.19999995e+00 -7.13977914e-08 
 2.45000000e-10  1.19999995e+00  1.19999995e+00 -4.65303987e-08 
 2.47000000e-10  1.19999995e+00  1.19999995e+00 -2.20264043e-08 
 2.49000000e-10  1.19999995e+00  1.19999995e+00  2.84101788e-09 
 2.51000000e-10  1.19999995e+00  1.19999995e+00  2.73233238e-08 
 2.53000000e-10  1.19999995e+00  1.19999995e+00  5.02617347e-08 
 2.55000000e-10  1.19999995e+00  1.19999995e+00  7.12397186e-08 
 2.57000000e-10  1.19999995e+00  1.19999995e+00  9.05901752e-08 
 2.59000000e-10  1.19999995e+00  1.19999995e+00  1.08872440e-07 
 2.61000000e-10  1.19999995e+00  1.19999995e+00  1.26501743e-07 
 2.63000000e-10  1.19999995e+00  1.19999995e+00  1.43580588e-07 
 2.65000000e-10  1.19999995e+00  1.19999995e+00  1.58199818e-07 
 2.67000000e-10  1.19999995e+00  1.19999995e+00  1.60073782e-07 
