 time            v(d_p)          v(d_n)          v(x1.gclk_b)    v(mode)         v(en)          
 0.00000000e+00  5.94835107e-08  1.19999995e+00  1.13351460e-07  0.00000000e+00  0.00000000e+00 
 5.00000000e-14  5.94838623e-08  1.19999995e+00  1.52627748e-07  0.00000000e+00  0.00000000e+00 
 1.00000000e-13  5.94846026e-08  1.19999995e+00  2.08914484e-07  0.00000000e+00  0.00000000e+00 
 2.00000000e-13  5.94867603e-08  1.19999995e+00  3.38141077e-07  0.00000000e+00  0.00000000e+00 
 4.00000000e-13  5.94937370e-08  1.19999995e+00  6.29970681e-07  0.00000000e+00  0.00000000e+00 
 8.00000000e-13  5.95077298e-08  1.19999995e+00  1.11123418e-06  0.00000000e+00  0.00000000e+00 
 1.60000000e-12  5.95121831e-08  1.19999995e+00  1.51585701e-06  0.00000000e+00  0.00000000e+00 
 3.20000000e-12  5.94745637e-08  1.19999995e+00  1.11515992e-06  0.00000000e+00  0.00000000e+00 
 6.40000000e-12  5.94456918e-08  1.19999995e+00 -4.41548194e-07  0.00000000e+00  0.00000000e+00 
 1.14000000e-11  5.95051856e-08  1.19999995e+00 -9.53289374e-07  0.00000000e+00  0.00000000e+00 
 1.64000000e-11  5.95063440e-08  1.19999995e+00 -1.50756959e-07  0.00000000e+00  0.00000000e+00 
 2.14000000e-11  5.94694369e-08  1.19999995e+00  1.48322747e-07  0.00000000e+00  0.00000000e+00 
 2.57000000e-11  5.94707868e-08  1.19999995e+00  1.28947757e-07  0.00000000e+00  0.00000000e+00 
 3.00000000e-11  5.94830771e-08  1.19999995e+00  2.47090234e-07  0.00000000e+00  0.00000000e+00 
 3.05000000e-11  5.94789528e-08  1.19999995e+00  3.25571256e-08  0.00000000e+00  0.00000000e+00 
 3.15000000e-11  5.94750735e-08  1.19999995e+00 -2.00530025e-07  0.00000000e+00  0.00000000e+00 
 3.35000000e-11  5.94944423e-08  1.19999995e+00  3.31079178e-07  0.00000000e+00  0.00000000e+00 
 3.75000000e-11  5.94949481e-08  1.19999995e+00  1.18841926e-06  0.00000000e+00  0.00000000e+00 
 4.25000000e-11  5.94627851e-08  1.19999995e+00  6.11057551e-07  0.00000000e+00  0.00000000e+00 
 4.62500000e-11  5.94826366e-08  1.19999995e+00  1.17744484e-07  0.00000000e+00  0.00000000e+00 
 5.00000000e-11  5.94945206e-08  1.19999995e+00 -1.49693727e-07  0.00000000e+00  0.00000000e+00 
 5.05000000e-11  5.94912087e-08  1.19999995e+00 -3.36968459e-07  0.00000000e+00  0.00000000e+00 
 5.15000000e-11  5.94861496e-08  1.19999995e+00 -6.29561351e-07  0.00000000e+00  0.00000000e+00 
 5.35000000e-11  5.94941935e-08  1.19999995e+00 -5.86512772e-07  0.00000000e+00  0.00000000e+00 
 5.75000000e-11  5.94982785e-08  1.19999995e+00 -2.58731498e-09  0.00000000e+00  0.00000000e+00 
 6.25000000e-11  5.94727270e-08  1.19999995e+00  3.42115009e-07  0.00000000e+00  0.00000000e+00 
 6.75000000e-11  5.94768397e-08  1.19999995e+00  8.80607760e-07  0.00000000e+00  0.00000000e+00 
 7.25000000e-11  5.94827097e-08  1.19999995e+00  1.68629200e-06  0.00000000e+00  0.00000000e+00 
 7.75000000e-11  5.94805133e-08  1.19999995e+00  2.37340445e-06  0.00000000e+00  0.00000000e+00 
 8.25000000e-11  5.94802433e-08  1.19999995e+00  2.62077047e-06  0.00000000e+00  0.00000000e+00 
