time_ns,D_p,D_n,mode,en
0.000000000000000000e+00,5.948354199999999807e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000240e-05,5.948376750000000213e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,5.948422569999999930e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000096e-04,5.948552240000000071e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000192e-04,5.948945099999999903e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000383e-04,5.949650050000000124e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000077e-03,5.949705759999999850e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000153e-03,5.947726229999999972e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000307e-03,5.946661999999999704e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000041e-02,5.949485630000000320e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.639999999999999791e-02,5.949233010000000194e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.139999999999999888e-02,5.947681770000000027e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.570000000000000062e-02,5.947886529999999786e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,5.948396539999999738e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.049999999999999933e-02,5.948158010000000299e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000022e-02,5.947959639999999764e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000200e-02,5.948945379999999992e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,5.948773770000000047e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,5.947361940000000148e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.624999999999999944e-02,5.948400079999999874e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.948817800000000021e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.050000000000000322e-02,5.948637459999999774e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.150000000000000411e-02,5.948390250000000215e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.350000000000000588e-02,5.948846439999999886e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,5.948988590000000035e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,5.947857379999999923e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,5.948167540000000193e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999500e-02,5.948337890000000068e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.749999999999999944e-02,5.948201410000000237e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,5.948172410000000257e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.749999999999999445e-02,5.948115860000000263e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.249999999999999889e-02,5.948469769999999756e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,5.949255349999999706e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999939e-01,5.948811500000000329e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.074999999999999983e-01,5.947770099999999894e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000028e-01,5.947738859999999862e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000072e-01,5.948100070000000027e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.224999999999999839e-01,5.949911909999999887e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,5.949532619999999914e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000067e-01,5.945873140000000032e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.374999999999999833e-01,5.947019570000000033e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.424999999999999878e-01,5.949183419999999772e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000200e-01,5.948561329999999826e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999967e-01,5.947951279999999747e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000011e-01,5.948421229999999833e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-01,5.949713500000000001e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.674999999999999822e-01,5.949589509999999685e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,5.948166619999999900e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.775000000000000189e-01,5.947273189999999816e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.824999999999999956e-01,5.947709180000000327e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,5.948266150000000029e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000044e-01,5.948344850000000301e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.974999999999999811e-01,5.948424470000000204e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.024999999999999856e-01,5.948565160000000219e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000178e-01,5.948530059999999949e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.124999999999999944e-01,5.948409499999999899e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999989e-01,5.948297029999999947e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.225000000000000033e-01,5.948271190000000312e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.274999999999999800e-01,5.948288640000000085e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.325000000000000122e-01,5.948331700000000245e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000167e-01,5.948359250000000259e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.424999999999999933e-01,5.948377739999999701e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.475000000000000255e-01,5.948379309999999705e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525000000000000022e-01,5.948377779999999714e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.575000000000000067e-01,5.948368609999999934e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,5.948362169999999866e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.675000000000000155e-01,5.948356030000000225e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.724999999999999645e-01,5.948353390000000046e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.775000000000000244e-01,5.948350540000000295e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.825000000000000289e-01,5.948350060000000142e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.874999999999999778e-01,5.948349729999999871e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.925000000000000377e-01,5.948351099999999812e-08,1.199999950000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
