corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
ff,1.08,-40,0.50,2.734606e-06,-2.5075e-06,2.27098e-07,8.6647
ff,1.08,-40,0.60,2.708129e-06,-2.65017e-06,5.795003e-08,2.1633
ff,1.08,-40,0.70,2.662155e-06,-2.68542e-06,-2.32673e-08,0.8701
ff,1.08,-40,0.80,2.599014e-06,-2.70416e-06,-1.05143e-07,3.9654
ff,1.08,-40,0.90,2.507071e-06,-2.7212e-06,-2.14127e-07,8.1912
ff,1.08,27,0.50,2.897967e-06,-2.62428e-06,2.735759e-07,9.9122
ff,1.08,27,0.60,2.871607e-06,-2.79367e-06,7.786867e-08,2.7514
ff,1.08,27,0.70,2.832268e-06,-2.85668e-06,-2.44405e-08,0.8582
ff,1.08,27,0.80,2.778777e-06,-2.88042e-06,-1.01636e-07,3.5921
ff,1.08,27,0.90,2.696461e-06,-2.9003e-06,-2.03793e-07,7.2842
ff,1.08,125,0.50,3.181984e-06,-2.81214e-06,3.66937e-07,12.3402
ff,1.08,125,0.60,3.155878e-06,-2.99893e-06,1.553824e-07,5.1000
ff,1.08,125,0.70,3.120776e-06,-3.11278e-06,7.707814e-09,0.2565
ff,1.08,125,0.80,3.072212e-06,-3.15403e-06,-8.08498e-08,2.6282
ff,1.08,125,0.90,2.981952e-06,-3.17937e-06,-1.95161e-07,6.4083
ff,1.20,-40,0.50,2.997281e-06,-2.52508e-06,4.721906e-07,17.1014
ff,1.20,-40,0.60,2.976326e-06,-2.73341e-06,2.429067e-07,8.5088
ff,1.20,-40,0.70,2.937444e-06,-2.87669e-06,6.074894e-08,2.0899
ff,1.20,-40,0.80,2.886065e-06,-2.91467e-06,-2.86104e-08,0.9863
ff,1.20,-40,0.90,2.819837e-06,-2.93321e-06,-1.13369e-07,3.9413
ff,1.20,27,0.50,3.145043e-06,-2.63684e-06,5.080612e-07,17.5792
ff,1.20,27,0.60,3.123159e-06,-2.84602e-06,2.770469e-07,9.2857
ff,1.20,27,0.70,3.08984e-06,-3.01152e-06,7.826764e-08,2.5673
ff,1.20,27,0.80,3.04709e-06,-3.07769e-06,-3.06158e-08,0.9992
ff,1.20,27,0.90,2.991677e-06,-3.10152e-06,-1.09817e-07,3.6054
ff,1.20,125,0.50,3.408276e-06,-2.81995e-06,5.84628e-07,18.8922
ff,1.20,125,0.60,3.385869e-06,-3.02569e-06,3.578552e-07,11.2353
ff,1.20,125,0.70,3.356511e-06,-3.20459e-06,1.509242e-07,4.6310
ff,1.20,125,0.80,3.31967e-06,-3.31789e-06,2.055527e-09,0.0536
ff,1.20,125,0.90,3.270814e-06,-3.36e-06,-8.76769e-08,2.6900
ff,1.32,-40,0.50,3.249742e-06,-2.53004e-06,7.196956e-07,24.9041
ff,1.32,-40,0.60,3.23299e-06,-2.74946e-06,4.835225e-07,16.1649
ff,1.32,-40,0.70,3.199138e-06,-2.94932e-06,2.498177e-07,8.1262
ff,1.32,-40,0.80,3.154586e-06,-3.09282e-06,6.176319e-08,1.9773
ff,1.32,-40,0.90,3.100054e-06,-3.13413e-06,-3.4077e-08,1.0932
ff,1.32,27,0.50,3.381659e-06,-2.64087e-06,7.406161e-07,24.6006
ff,1.32,27,0.60,3.363255e-06,-2.85764e-06,5.054891e-07,16.2554
ff,1.32,27,0.70,3.333962e-06,-3.05753e-06,2.763497e-07,8.6500
ff,1.32,27,0.80,3.297135e-06,-3.21917e-06,7.792968e-08,2.3929
