corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
tt,1.08,-40,0.35,8.42615e-01,FAIL,FAIL,FAIL,FAIL,1.00844e-04,1.03750e-03
tt,1.08,-40,0.4,6.76368e-01,FAIL,FAIL,FAIL,FAIL,-9.50776e-05,1.18863e-04
tt,1.08,-40,0.45,6.05459e-01,FAIL,FAIL,FAIL,FAIL,1.87570e-01,1.08000e+00
tt,1.08,-40,0.5,5.54824e-01,FAIL,FAIL,FAIL,FAIL,-3.45011e-03,1.08579e+00
tt,1.08,-40,0.55,0.502031,437380267,6.87643e-06,7.4265444e-06,1.69796055e-14,-0.00755556,1.09171
tt,1.08,-40,0.6,0.447362,811411694,1.36315e-05,1.472202e-05,1.81437119e-14,-0.0127304,1.0987
tt,1.08,-40,0.65,0.392268,1.25887507e+09,2.18641e-05,2.3613228e-05,1.87574038e-14,-0.0180221,1.10568
tt,1.08,-40,0.7,0.337689,1.75100683e+09,3.22734e-05,3.4855272e-05,1.99058458e-14,-0.0225772,1.11184
tt,1.08,-40,0.75,0.284639,2.2390399e+09,4.17864e-05,4.5129312e-05,2.01556533e-14,-0.0257941,1.11597
tt,1.08,-40,0.8,0.235712,2.66638225e+09,5.04729e-05,5.4510732e-05,2.04437049e-14,-0.0276436,1.11683
tt,1.08,-40,0.85,0.194281,3.00498828e+09,5.84451e-05,6.3120708e-05,2.10053092e-14,-0.0285724,1.11324
tt,1.08,-40,0.9,0.162162,3.25754121e+09,6.38747e-05,6.8984676e-05,2.11769158e-14,-0.0290157,1.10412
tt,1.08,-40,0.95,0.13847,3.44293338e+09,6.87596e-05,7.4260368e-05,2.15689239e-14,-0.0292474,1.09035
tt,1.08,27,0.35,7.01792e-01,FAIL,FAIL,FAIL,FAIL,-6.88396e-05,1.68346e-01
tt,1.08,27,0.4,6.50284e-01,FAIL,FAIL,FAIL,FAIL,9.42252e-01,1.08000e+00
tt,1.08,27,0.45,5.97743e-01,FAIL,FAIL,FAIL,FAIL,-9.03126e-04,1.08368e+00
tt,1.08,27,0.5,0.542732,355297846,6.62945e-06,7.159806e-06,2.01515604e-14,-0.00442053,1.08757
tt,1.08,27,0.55,0.485468,704274949,1.24108e-05,1.3403664e-05,1.90318625e-14,-0.00774073,1.09241
tt,1.08,27,0.6,0.427551,1.11708129e+09,1.8926e-05,2.044008e-05,1.82977552e-14,-0.0115803,1.09797
tt,1.08,27,0.65,0.370281,1.56729986e+09,2.80277e-05,3.0269916e-05,1.93134172e-14,-0.0153372,1.10353
tt,1.08,27,0.7,0.314854,2.02085523e+09,3.66092e-05,3.9537936e-05,1.95649523e-14,-0.0183694,1.10804
tt,1.08,27,0.75,0.263034,2.4317292e+09,4.59383e-05,4.9613364e-05,2.04025037e-14,-0.0203622,1.10993
tt,1.08,27,0.8,0.217895,2.76816609e+09,5.2918e-05,5.715144e-05,2.06459577e-14,-0.0214949,1.10765
tt,1.08,27,0.85,0.181852,3.02516941e+09,5.81511e-05,6.2803188e-05,2.07602218e-14,-0.0220925,1.09977
tt,1.08,27,0.9,0.154806,3.21543408e+09,6.24839e-05,6.7482612e-05,2.09870923e-14,-0.0224009,1.0867
tt,1.08,27,0.95,0.134908,3.35671847e+09,6.57445e-05,7.100406e-05,2.11528195e-14,-0.022591,1.07034
tt,1.08,125,0.35,6.91105e-01,FAIL,FAIL,FAIL,FAIL,1.06535e+00,1.08137e+00
tt,1.08,125,0.4,6.35519e-01,FAIL,FAIL,FAIL,FAIL,-1.85259e-03,1.08318e+00
tt,1.08,125,0.45,0.577674,421128878,8.12141e-06,8.7711228e-06,2.08276451e-14,-0.00343692,1.08586
tt,1.08,125,0.5,0.518267,768586339,1.27843e-05,1.3807044e-05,1.79642069e-14,-0.00548754,1.08908
tt,1.08,125,0.55,0.458663,1.17517099e+09,2.10305e-05,2.271294e-05,1.93273492e-14,-0.00776205,1.09263
tt,1.08,125,0.6,0.40019,1.59565981e+09,2.83877e-05,3.0658716e-05,1.92138173e-14,-0.0099787,1.09628
tt,1.08,125,0.65,0.343834,1.99768269e+09,3.61665e-05,3.905982e-05,1.95525647e-14,-0.0118433,1.09932
tt,1.08,125,0.7,0.291362,2.35432607e+09,4.36371e-05,4.7128068e-05,2.00176469e-14,-0.0131874,1.10029
tt,1.08,125,0.75,0.245244,2.64872596e+09,4.91585e-05,5.309118e-05,2.00440441e-14,-0.0140486,1.09734
