 time            v(d_p)          v(d_n)          v(vos)          vod             v(x1.core_p)    v(x1.core_n)   
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00  0.00000000e+00  1.19999995e+00  1.19999995e+00 
 5.00000000e-14  3.30000313e+00  3.30000313e+00  3.30000313e+00  1.18571819e-13  1.19999995e+00  1.19999995e+00 
 1.00000000e-13  3.30000642e+00  3.30000642e+00  3.30000642e+00 -1.55431223e-14  1.19999995e+00  1.19999995e+00 
 2.00000000e-13  3.30001259e+00  3.30001259e+00  3.30001259e+00 -9.32587341e-15  1.19999996e+00  1.19999996e+00 
 4.00000000e-13  3.30002199e+00  3.30002199e+00  3.30002199e+00  5.55111512e-14  1.19999996e+00  1.19999996e+00 
 8.00000000e-13  3.30003280e+00  3.30003280e+00  3.30003280e+00  1.28785871e-14  1.19999997e+00  1.19999997e+00 
 1.60000000e-12  3.30004174e+00  3.30004174e+00  3.30004174e+00  4.88498131e-15  1.19999999e+00  1.19999999e+00 
 3.20000000e-12  3.30004623e+00  3.30004623e+00  3.30004623e+00 -2.30926389e-14  1.19999999e+00  1.19999999e+00 
 6.40000000e-12  3.30004864e+00  3.30004864e+00  3.30004864e+00  1.95399252e-14  1.19999997e+00  1.19999997e+00 
 1.14000000e-11  3.30005469e+00  3.30005469e+00  3.30005469e+00 -2.22044605e-15  1.19999995e+00  1.19999995e+00 
 1.64000000e-11  3.30006147e+00  3.30006147e+00  3.30006147e+00  7.54951657e-15  1.19999995e+00  1.19999995e+00 
 2.14000000e-11  3.30006821e+00  3.30006821e+00  3.30006821e+00  2.62012634e-14  1.19999995e+00  1.19999995e+00 
 2.64000000e-11  3.30007502e+00  3.30007502e+00  3.30007502e+00  1.55431223e-14  1.19999995e+00  1.19999995e+00 
 3.14000000e-11  3.30008175e+00  3.30008175e+00  3.30008175e+00  1.68753900e-14  1.19999995e+00  1.19999995e+00 
 3.64000000e-11  3.30008838e+00  3.30008838e+00  3.30008838e+00 -1.33226763e-15  1.19999995e+00  1.19999995e+00 
 4.14000000e-11  3.30009487e+00  3.30009487e+00  3.30009487e+00  2.66453526e-15  1.19999995e+00  1.19999995e+00 
 4.57000000e-11  3.30010034e+00  3.30010034e+00  3.30010034e+00  1.11022302e-14  1.19999995e+00  1.19999995e+00 
 5.00000000e-11  3.30010569e+00  3.30010569e+00  3.30010569e+00  1.77635684e-15  1.19999995e+00  1.19999995e+00 
 5.05000000e-11  3.30010630e+00  3.30010630e+00  3.30010630e+00  8.88178420e-15  1.19999995e+00  1.19999995e+00 
 5.15000000e-11  3.30010753e+00  3.30010753e+00  3.30010753e+00  5.77315973e-15  1.19999995e+00  1.19999995e+00 
 5.35000000e-11  3.30010996e+00  3.30010996e+00  3.30010996e+00  1.73194792e-14  1.19999995e+00  1.19999995e+00 
 5.75000000e-11  3.30011476e+00  3.30011476e+00  3.30011476e+00 -1.90958360e-14  1.19999995e+00  1.19999995e+00 
 6.14000000e-11  3.30011934e+00  3.30011934e+00  3.30011934e+00 -4.88498131e-15  1.19999995e+00  1.19999995e+00 
 6.19000000e-11  3.30011992e+00  3.30011992e+00  3.30011992e+00  1.77635684e-15  1.19999995e+00  1.19999995e+00 
 6.29000000e-11  3.30012108e+00  3.30012108e+00  3.30012108e+00  4.44089210e-16  1.19999995e+00  1.19999995e+00 
 6.49000000e-11  3.30012338e+00  3.30012338e+00  3.30012338e+00 -1.33226763e-14  1.19999995e+00  1.19999995e+00 
 6.89000000e-11  3.30012790e+00  3.30012790e+00  3.30012790e+00 -1.15463195e-14  1.19999995e+00  1.19999995e+00 
 7.39000000e-11  3.30013344e+00  3.30013344e+00  3.30013344e+00 -2.17603713e-14  1.19999995e+00  1.19999995e+00 
 7.89000000e-11  3.30013883e+00  3.30013883e+00  3.30013883e+00 -3.55271368e-15  1.19999995e+00  1.19999995e+00 
 8.39000000e-11  3.30014409e+00  3.30014409e+00  3.30014409e+00 -1.06581410e-14  1.19999995e+00  1.19999995e+00 
 8.89000000e-11  3.30014922e+00  3.30014922e+00  3.30014922e+00 -1.68753900e-14  1.19999995e+00  1.19999995e+00 
 9.39000000e-11  3.30015422e+00  3.30015422e+00  3.30015422e+00 -1.37667655e-14  1.19999995e+00  1.19999995e+00 
 9.89000000e-11  3.30015910e+00  3.30015910e+00  3.30015910e+00 -1.68753900e-14  1.19999995e+00  1.19999995e+00 
 1.03900000e-10  3.30016386e+00  3.30016386e+00  3.30016386e+00 -1.19904087e-14  1.19999995e+00  1.19999995e+00 
 1.08900000e-10  3.30016851e+00  3.30016851e+00  3.30016851e+00 -8.88178420e-15  1.19999995e+00  1.19999995e+00 
 1.13900000e-10  3.30017304e+00  3.30017304e+00  3.30017304e+00 -1.77635684e-14  1.19999995e+00  1.19999995e+00 
 1.18900000e-10  3.30017746e+00  3.30017746e+00  3.30017746e+00 -6.21724894e-15  1.19999995e+00  1.19999995e+00 
 1.23900000e-10  3.30018178e+00  3.30018178e+00  3.30018178e+00 -1.06581410e-14  1.19999995e+00  1.19999995e+00 
 1.28900000e-10  3.30018600e+00  3.30018600e+00  3.30018600e+00 -2.17603713e-14  1.19999995e+00  1.19999995e+00 
 1.33900000e-10  3.30019011e+00  3.30019011e+00  3.30019011e+00 -2.22044605e-14  1.19999995e+00  1.19999995e+00 
 1.38900000e-10  3.30019413e+00  3.30019413e+00  3.30019413e+00 -2.62012634e-14  1.19999995e+00  1.19999995e+00 
 1.43900000e-10  3.30019805e+00  3.30019805e+00  3.30019805e+00  4.44089210e-16  1.19999995e+00  1.19999995e+00 
 1.48900000e-10  3.30020188e+00  3.30020188e+00  3.30020188e+00  3.73034936e-14  1.19999995e+00  1.19999995e+00 
 1.53900000e-10  3.30020562e+00  3.30020562e+00  3.30020562e+00 -4.75175455e-14  1.19999995e+00  1.19999995e+00 
 1.58900000e-10  3.30020927e+00  3.30020927e+00  3.30020927e+00 -3.95239397e-14  1.19999995e+00  1.19999995e+00 
 1.63900000e-10  3.30021283e+00  3.30021283e+00  3.30021283e+00  2.04281037e-14  1.19999995e+00  1.19999995e+00 
 1.68900000e-10  3.30021632e+00  3.30021632e+00  3.30021632e+00  8.88178420e-15  1.19999995e+00  1.19999995e+00 
 1.73900000e-10  3.30021972e+00  3.30021972e+00  3.30021972e+00  2.22044605e-15  1.19999995e+00  1.19999995e+00 
