 time            v(d_p)          v(d_n)          v(vos)          vod             v(x1.core_p)    v(x1.core_n)   
 0.00000000e+00  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835107e-08  1.19999995e+00 
 5.00000000e-14  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94849534e-08  1.19999995e+00 
 1.00000000e-13  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94876337e-08  1.19999995e+00 
 2.00000000e-13  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94946488e-08  1.19999995e+00 
 4.00000000e-13  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.95093672e-08  1.19999995e+00 
 8.00000000e-13  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.95229211e-08  1.19999995e+00 
 1.60000000e-12  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.95070357e-08  1.19999995e+00 
 3.20000000e-12  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94615661e-08  1.19999995e+00 
 6.40000000e-12  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94522634e-08  1.19999995e+00 
 1.14000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94904038e-08  1.19999995e+00 
 1.64000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94997740e-08  1.19999995e+00 
 2.14000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94871365e-08  1.19999995e+00 
 2.57000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94778785e-08  1.19999995e+00 
 3.00000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94769324e-08  1.19999995e+00 
 3.05000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94777093e-08  1.19999995e+00 
 3.15000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94791501e-08  1.19999995e+00 
 3.35000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94811187e-08  1.19999995e+00 
 3.75000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94839719e-08  1.19999995e+00 
 4.25000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94854864e-08  1.19999995e+00 
 4.62500000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94851408e-08  1.19999995e+00 
 5.00000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94850894e-08  1.19999995e+00 
 5.05000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94643048e-08  1.19999995e+00 
 5.15000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94550163e-08  1.19999995e+00 
 5.35000000e-11  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94991261e-08  1.19999995e+00 
