time_ns,d_p,d_n,vos,vod,core_p,core_n
0.000000000000000000e+00,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948354190000000301e-08,1.199999950000000037e+00
5.000000000000000240e-05,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948618119999999896e-08,1.199999950000000037e+00
1.000000000000000048e-04,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949107390000000186e-08,1.199999950000000037e+00
2.000000000000000096e-04,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950392519999999732e-08,1.199999950000000037e+00
4.000000000000000192e-04,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.953116279999999780e-08,1.199999950000000037e+00
8.000000000000000383e-04,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.955609639999999836e-08,1.199999950000000037e+00
1.600000000000000077e-03,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.952364289999999784e-08,1.199999950000000037e+00
3.200000000000000153e-03,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.943903129999999880e-08,1.199999950000000037e+00
6.400000000000000307e-03,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.943645719999999716e-08,1.199999950000000037e+00
1.140000000000000041e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950882129999999800e-08,1.199999950000000037e+00
1.639999999999999791e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.951294859999999844e-08,1.199999950000000037e+00
2.139999999999999888e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948574570000000076e-08,1.199999950000000037e+00
2.570000000000000062e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947470560000000032e-08,1.199999950000000037e+00
2.999999999999999889e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947975269999999949e-08,1.199999950000000037e+00
3.049999999999999933e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.946687490000000054e-08,1.199999950000000037e+00
3.150000000000000022e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947256149999999678e-08,1.199999950000000037e+00
3.350000000000000200e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.951035959999999702e-08,1.199999950000000037e+00
3.749999999999999861e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949783210000000220e-08,1.199999950000000037e+00
4.250000000000000305e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947368909999999888e-08,1.199999950000000037e+00
4.624999999999999944e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948081600000000261e-08,1.199999950000000037e+00
5.000000000000000278e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949259879999999992e-08,1.199999950000000037e+00
5.050000000000000322e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948285409999999882e-08,1.199999950000000037e+00
5.150000000000000411e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948275049999999888e-08,1.199999950000000037e+00
5.350000000000000588e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950692440000000047e-08,1.199999950000000037e+00
5.750000000000000250e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950286409999999822e-08,1.199999950000000037e+00
6.250000000000000000e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947854300000000265e-08,1.199999950000000037e+00
6.750000000000000444e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947634899999999810e-08,1.199999950000000037e+00
7.249999999999999500e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948309419999999760e-08,1.199999950000000037e+00
7.749999999999999944e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948611300000000038e-08,1.199999950000000037e+00
8.250000000000000389e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948612690000000316e-08,1.199999950000000037e+00
8.749999999999999445e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948406770000000187e-08,1.199999950000000037e+00
9.249999999999999889e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948933449999999994e-08,1.199999950000000037e+00
9.750000000000000333e-02,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949822789999999933e-08,1.199999950000000037e+00
1.024999999999999939e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949454730000000066e-08,1.199999950000000037e+00
